idcaracteristicasGerais,idImovel,temCaracteristica
1,1,0
1,2,0
2,4,0
1,5,1
2,6,0
2,7,1
1,8,0
1,9,0
1,11,0
1,12,1
2,13,1
1,14,1
2,17,0
1,18,1
2,19,0
2,21,0
2,24,0
2,25,0
1,27,0
2,28,1
1,30,1
5,1,1
4,2,0
5,4,1
5,5,0
4,6,0
3,7,1
5,8,1
4,9,1
4,11,0
4,12,1
4,13,1
5,14,1
3,17,0
3,18,0
4,19,1
3,21,1
3,24,1
4,25,0
4,27,1
5,28,1
4,30,0
7,1,0
7,2,1
7,4,1
7,5,1
8,6,0
6,7,0
7,8,1
8,9,0
7,11,1
8,12,0
8,13,1
6,14,1
6,17,1
7,18,1
8,19,0
7,21,0
8,24,1
6,25,1
7,27,1
8,28,1
7,30,0
9,1,0
9,2,1
10,4,0
10,5,0
9,6,0
9,7,1
9,8,0
10,9,0
9,11,0
10,12,1
10,13,1
10,14,1
9,17,1
9,18,1
9,19,1
9,21,0
9,24,1
10,25,1
9,27,1
9,28,1
10,30,0
13,1,0
13,2,0
13,4,1
11,5,0
13,6,1
12,7,1
12,8,1
12,9,1
11,11,1
12,12,0
12,13,1
12,14,0
11,17,1
12,18,0
11,19,0
13,21,0
12,24,0
13,25,1
13,27,0
12,28,1
13,30,0
1,3,1
1,10,0
1,15,0
1,16,0
1,20,1
1,22,0
1,23,1
1,26,1
1,29,0
2,3,1
2,10,1
2,15,0
2,16,1
2,20,0
2,22,0
2,23,0
2,26,0
2,29,1
3,3,1
3,10,0
3,15,0
3,16,0
3,20,0
3,22,0
