idcaracteristicasGerais,idImovel,temCaracteristica
3,23,0
3,26,0
3,29,1
4,3,1
4,10,0
4,15,0
4,16,0
4,20,1
4,22,1
4,23,1
4,26,0
4,29,1
7,3,1
4,10,0
5,15,0
4,16,0
4,20,1
4,22,1
6,23,1
8,26,0
4,29,0
8,3,0
5,10,1
6,15,1
8,16,1
5,20,1
6,22,0
4,23,1
5,26,0
6,29,0
13,3,1
13,10,1
12,15,0
12,16,0
11,20,1
11,22,0
13,23,1
12,26,1
11,29,1
9,31,1
10,31,0
9,32,0
10,32,0
9,33,0
10,33,1
9,34,1
10,34,1
9,35,0
10,35,1
8,31,0
8,32,0
8,33,0
8,34,1
8,35,0
7,31,0
7,32,1
7,33,1
7,34,1
7,35,1
2,31,0
2,32,1
2,33,0
2,34,1
2,35,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
1,31,0
1,32,0
1,33,0
1,34,1
1,35,0
12,31,0
12,32,0
12,33,0
12,34,1
12,35,0
13,31,1
13,32,0
13,33,1
13,34,1
13,35,1
11,31,1
11,32,1
11,33,1
11,34,1
11,35,1
6,31,1
6,32,0
6,33,0
6,34,1
6,35,0
5,31,0
5,32,0
5,33,0
5,34,1
5,35,0
4,31,0
4,32,0
4,33,0
4,34,1
4,35,1
