idImovel,codRegistro,Disponibilidade,idTipoUnidade,areaImovel,valorIPTU,valorCondominio,qtdeQuartos,qtdeBanheiro,qtdeSuite,qtdeSala,qtdeVagas,CodigoCompletoIBGE
1,7658769889078,V,4,56,2110,493,1,1,1,1,3,4204178
2,32435464357,A,1,165,3785,0,3,2,0,2,2,1501105
3,2724547425427,A,6,99,3565,1040,4,2,1,1,0,5107305
4,25775751253,V,4,73,3705,538,1,2,0,1,3,2917334
5,257247247,V,5,185,3132,1072,1,2,0,2,3,3542909
6,34523436426,A,5,66,2209,1120,4,1,2,1,1,4305355
7,3508610000000,V,6,148,3506,178,4,1,2,2,1,2901205
8,9342440000000,V,4,84,2796,812,2,1,0,2,3,4321501
9,4565600000000,A,5,144,3320,773,1,3,2,2,1,2604700
10,2149040000000,A,1,110,1777,0,4,2,2,1,0,5103700
11,943254000000,A,3,191,2977,1101,3,2,0,2,2,3140308
12,878641000000,V,2,138,3132,0,4,1,2,2,3,2606002
13,6658780000000,A,6,67,2624,189,3,3,2,2,3,3502200
14,3850750000000,V,5,57,2597,560,3,1,2,1,3,4109302
15,46854751611,A,4,149,1916,229,3,1,2,2,0,3138906
16,6580820000000,V,6,118,1653,613,2,1,0,2,0,2807204
17,4354230000000,V,4,55,4066,463,3,1,2,2,2,4320321
18,2712570000000,A,6,140,2964,967,3,3,2,1,2,3127602
19,2995820000000,A,3,57,3643,361,2,2,0,1,1,3518701
20,1785130000000,A,1,121,1788,0,3,1,1,1,0,2705002
21,1584630000000,A,3,178,2294,1006,3,1,0,2,3,3171402
22,8306000000000,A,5,149,2932,207,1,2,2,1,0,2100501
23,2308470000000,A,4,82,1837,432,1,2,0,2,0,4306106
24,8894910000000,A,4,94,3621,150,1,3,0,2,1,2112605
25,5010480000000,A,1,73,3063,0,3,3,0,2,2,5216452
26,7623850000000,A,3,141,4047,883,2,2,2,2,0,4114609
27,8004320000000,A,4,110,1884,1187,4,1,2,2,2,4309258
28,2530160000000,V,5,43,3217,516,3,2,2,2,3,4313011
29,6346820000000,V,3,181,3667,1002,2,3,0,1,0,4313607
30,396987000000,A,2,191,1791,0,4,3,0,1,3,3108701
31,406987000000,A,1,97,1550,0,2,2,1,1,2,3203205
32,311987000000,V,2,83,1791,100,2,2,1,2,0,1101435
33,314587000000,A,3,91,1890,300,3,3,2,1,2,1200104
34,396988000000,V,1,251,2090,0,4,3,2,2,3,3136702
35,985647000000,A,4,85,2350,650,2,2,0,1,1,4321501
